Team,Lose_score,Lose_score_2014,Lose_score_2015,Lose_score_2016,Lose_score_2017,Lose_score_2018,Lose_score_2019,Lose_score_2020,Lose_score_2021,Lose_score_2022
AFC Bournemouth,,,67.0,67.0,61.0,70.0,65.0,,,71.0
Arsenal FC,41.0,36.0,36.0,44.0,51.0,51.0,48.0,39.0,48.0,43.0
Aston Villa,61.0,57.0,76.0,,,,67.0,46.0,54.0,46.0
Brentford FC,,,,,,,,,56.0,46.0
Brighton & Hove Albion,,,,,54.0,60.0,54.0,46.0,44.0,53.0
Burnley FC,,53.0,,55.0,39.0,68.0,50.0,55.0,53.0,
Cardiff City,74.0,,,,,69.0,,,,
Chelsea FC,27.0,32.0,53.0,33.0,38.0,39.0,54.0,36.0,33.0,47.0
Crystal Palace,48.0,51.0,51.0,63.0,55.0,53.0,50.0,66.0,46.0,49.0
Everton FC,39.0,50.0,55.0,44.0,58.0,46.0,56.0,48.0,66.0,57.0
Fulham FC,85.0,,,,,81.0,,53.0,,53.0
Huddersfield Town,,,,,58.0,76.0,,,,
Hull City,53.0,51.0,,80.0,,,,,,
Leeds United,,,,,,,,54.0,79.0,78.0
Leicester City,,55.0,36.0,63.0,60.0,48.0,41.0,50.0,59.0,68.0
Liverpool FC,50.0,48.0,50.0,42.0,38.0,22.0,33.0,42.0,26.0,47.0
Manchester City,37.0,38.0,41.0,39.0,27.0,23.0,35.0,32.0,26.0,33.0
Manchester United,43.0,37.0,35.0,29.0,28.0,54.0,36.0,44.0,57.0,43.0
Middlesbrough FC,,,,53.0,,,,,,
Newcastle United,59.0,63.0,65.0,,47.0,48.0,58.0,62.0,62.0,33.0
Norwich City,62.0,,67.0,,,,75.0,,84.0,
Nottingham Forest,,,,,,,,,,68.0
Queens Park Rangers,,73.0,,,,,,,,
Sheffield United,,,,,,,39.0,63.0,,
Southampton FC,46.0,33.0,41.0,48.0,56.0,65.0,60.0,68.0,67.0,73.0
Stoke City,52.0,45.0,55.0,56.0,68.0,,,,,
Sunderland AFC,60.0,53.0,62.0,69.0,,,,,,
Swansea City,54.0,49.0,52.0,70.0,56.0,,,,,
Tottenham Hotspur,51.0,53.0,35.0,26.0,36.0,39.0,47.0,45.0,40.0,63.0
Watford FC,,,50.0,68.0,64.0,59.0,64.0,,77.0,
West Bromwich Albion,59.0,51.0,48.0,51.0,56.0,,,76.0,,
West Ham United,51.0,47.0,51.0,64.0,68.0,55.0,62.0,47.0,51.0,55.0
Wolverhampton Wanderers,,,,,,46.0,40.0,52.0,43.0,58.0
