Team,AverageAge_2013,AverageAge_2014,AverageAge_2015,AverageAge_2016,AverageAge_2017,AverageAge_2018,AverageAge_2019,AverageAge_2020,AverageAge_2021,AverageAge_2022
AFC Bournemouth,,,27.5,26.4,26.7,26.2,25.1,,,26.2
Arsenal FC,26.5,25.9,26.6,26.6,26.5,26.4,25.1,25.7,24.4,24.6
Aston Villa,24.4,26.2,26.2,,,,25.6,25,25.9,26.9
Brentford FC,,,,,,,,,25.1,25.7
Brighton & Hove Albion,,,,,27.4,27.2,26.4,25.8,26,25.7
Burnley FC,,27,,27.4,27.3,27.9,28.1,28.4,28.8,
Cardiff City,25.2,,,,,27.3,,,,
Chelsea FC,27.3,27,26.4,27,26.6,27.1,25.3,25.8,27.1,25.9
Crystal Palace,27.7,27.5,27.5,27.8,27,27.2,29,28.8,26.9,26.6
Everton FC,27.2,27.7,26.5,27.2,26.3,25.5,25.5,26.4,26.5,26.3
Fulham FC,28.6,,,,,25.8,,25.2,,27.9
Huddersfield Town,,,,,26.2,25.9,,,,
Hull City,27.4,27,,27.2,,,,,,
Leeds United,,,,,,,,26.1,25.6,25.1
Leicester City,,27.5,27.3,27.3,26.8,25.9,25.9,26.4,26.3,26.3
Liverpool FC,25.3,25.3,24.9,25.6,25.5,26.2,26.6,26.8,27.7,27.2
Manchester City,27.5,28.7,27.8,28.1,26,26.4,26.7,26.1,27,26.7
Manchester United,26.5,25.7,25.4,26.4,26.3,26,24.7,25.5,27,26.6
Middlesbrough FC,,,,27.1,,,,,,
Newcastle United,26.2,25.6,25.2,,25.5,26.6,26.5,27.1,27.4,27
Norwich City,26.2,,27.7,,,,25.9,,25.6,
Nottingham Forest,,,,,,,,,,26.5
Queens Park Rangers,,28,,,,,,,,
Sheffield United,,,,,,,26.9,26.5,,
Southampton FC,24.6,25.6,26,25.8,26,25.4,25.7,26.1,25.6,24.6
Stoke City,27.3,27.5,27.5,28.6,27.5,,,,,
Sunderland AFC,26.2,27.5,27.2,26.5,,,,,,
Swansea City,26.2,26.4,27.5,27.3,27,,,,,
Tottenham Hotspur,25,24.5,24.2,24.9,25.8,26.6,26.2,27,26.1,27.1
Watford FC,,,28.1,28.4,27.6,27.9,28.4,,28,
West Bromwich Albion,27.7,27.9,28.6,28.9,28.7,,,26.5,,
West Ham United,28.4,27.1,26.4,26.5,27.6,27.7,27.4,27.7,28,27.9
Wolverhampton Wanderers,,,,,,25.4,25.9,25.6,26.5,26.5
