Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season,goal_gain_lose_gap
아스날,4,79,68,41,37.1,26.5,2013-2014,27
아스톤 빌라,15,38,39,61,11.74,24.4,2013-2014,-22
카디프,20,30,32,74,42.08,25.2,2013-2014,-42
첼시,3,82,71,27,52.42,27.3,2013-2014,44
크리스탈 팰리스,11,45,33,48,33.0,27.7,2013-2014,-15
에버튼,5,72,61,39,-14.3,27.2,2013-2014,22
풀럼,19,32,40,85,25.15,28.6,2013-2014,-45
헐시티,16,37,38,53,30.22,27.4,2013-2014,-15
리버풀,2,84,101,50,25.6,25.3,2013-2014,51
맨시티,1,86,102,37,104.2,27.5,2013-2014,65
맨유,7,64,64,43,75.33,26.5,2013-2014,21
뉴캐슬,10,49,43,59,-22.07,26.2,2013-2014,-16
노리치,18,33,28,62,25.22,26.2,2013-2014,-34
사우스햄튼,8,56,54,46,35.4,24.6,2013-2014,8
스토크시티,9,50,45,52,7.0,27.3,2013-2014,-7
선더랜드,14,38,41,60,11.53,26.2,2013-2014,-19
스완지,12,42,54,54,26.61,26.2,2013-2014,0
토트넘,6,69,55,51,-15.85,25.0,2013-2014,4
웨스트 브로미치,17,36,43,59,4.3,27.7,2013-2014,-16
웨스트햄,13,40,40,51,23.47,28.4,2013-2014,-11
아스날,3,75,71,36,91.18,25.9,2014-2015,35
아스톤 빌라,17,38,31,57,12.14,26.2,2014-2015,-26
번리,19,33,28,53,12.62,27.0,2014-2015,-25
첼시,1,87,73,32,-5.11,27.0,2014-2015,41
크리스탈 팰리스,10,48,47,51,28.35,27.5,2014-2015,-4
에버튼,11,47,48,50,38.26,27.7,2014-2015,-2
헐시티,18,35,33,51,29.52,27.0,2014-2015,-18
레스터시티,14,41,46,55,22.86,27.5,2014-2015,-9
리버풀,6,62,52,48,52.16,25.3,2014-2015,4
맨시티,2,79,83,38,72.5,28.7,2014-2015,45
맨유,4,70,62,37,148.65,25.7,2014-2015,25
뉴캐슬,15,39,40,63,21.15,25.6,2014-2015,-23
QPR,20,30,42,73,17.5,28.0,2014-2015,-31
사우스햄튼,7,60,54,33,-27.83,25.6,2014-2015,21
스토크시티,9,54,48,45,-2.0,27.5,2014-2015,3
선더랜드,16,38,31,53,15.27,27.5,2014-2015,-22
스완지,8,56,46,49,-20.37,26.4,2014-2015,-3
토트넘,5,64,58,53,4.33,24.5,2014-2015,5
웨스트 브로미치,13,44,38,51,22.58,27.9,2014-2015,-13
웨스트햄,12,47,44,47,30.75,27.1,2014-2015,-3
본머스,16,42,45,67,54.46,27.5,2015-2016,-22
아스날,2,71,65,36,24.0,26.6,2015-2016,29
아스톤 빌라,20,17,27,76,1.85,26.2,2015-2016,-49
첼시,10,50,59,53,9.01,26.4,2015-2016,6
크리스탈 팰리스,15,42,39,51,23.4,27.5,2015-2016,-12
에버튼,11,47,59,55,37.2,26.5,2015-2016,4
레스터시티,1,81,68,36,40.45,27.3,2015-2016,32
리버풀,8,60,63,50,35.95,24.9,2015-2016,13
맨시티,4,66,71,41,141.03,27.8,2015-2016,30
맨유,5,66,49,35,55.33,25.4,2015-2016,14
뉴캐슬,18,37,44,65,102.48,25.2,2015-2016,-21
노리치,19,34,39,67,29.01,27.7,2015-2016,-28
사우스햄튼,6,63,59,41,7.4,26.0,2015-2016,18
스토크시티,9,51,41,55,30.45,27.5,2015-2016,-14
선더랜드,17,39,48,62,55.05,27.2,2015-2016,-14
