Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season
Arsenal FC,4,79,68,41,-37.1,26.5,2013-2014
Aston Villa,15,38,39,61,-11.74,24.4,2013-2014
Cardiff City,20,30,32,74,-42.08,25.2,2013-2014
Chelsea FC,3,82,71,27,-52.42,27.3,2013-2014
Crystal Palace,11,45,33,48,-33.0,27.7,2013-2014
Everton FC,5,72,61,39,14.3,27.2,2013-2014
Fulham FC,19,32,40,85,-25.15,28.6,2013-2014
Hull City,16,37,38,53,-30.22,27.4,2013-2014
Liverpool FC,2,84,101,50,-25.6,25.3,2013-2014
Manchester City,1,86,102,37,-104.2,27.5,2013-2014
Manchester United,7,64,64,43,-75.33,26.5,2013-2014
Newcastle United,10,49,43,59,22.07,26.2,2013-2014
Norwich City,18,33,28,62,-25.22,26.2,2013-2014
Southampton FC,8,56,54,46,-35.4,24.6,2013-2014
Stoke City,9,50,45,52,-7.0,27.3,2013-2014
Sunderland AFC,14,38,41,60,-11.53,26.2,2013-2014
Swansea City,12,42,54,54,-26.61,26.2,2013-2014
Tottenham Hotspur,6,69,55,51,15.85,25.0,2013-2014
West Bromwich Albion,17,36,43,59,-4.3,27.7,2013-2014
West Ham United,13,40,40,51,-23.47,28.4,2013-2014
Arsenal FC,3,75,71,36,-91.18,25.9,2014-2015
Aston Villa,17,38,31,57,-12.14,26.2,2014-2015
Burnley FC,19,33,28,53,-12.62,27.0,2014-2015
Chelsea FC,1,87,73,32,5.11,27.0,2014-2015
Crystal Palace,10,48,47,51,-28.35,27.5,2014-2015
Everton FC,11,47,48,50,-38.26,27.7,2014-2015
Hull City,18,35,33,51,-29.52,27.0,2014-2015
Leicester City,14,41,46,55,-22.86,27.5,2014-2015
Liverpool FC,6,62,52,48,-52.16,25.3,2014-2015
Manchester City,2,79,83,38,-72.5,28.7,2014-2015
Manchester United,4,70,62,37,-148.65,25.7,2014-2015
Newcastle United,15,39,40,63,-21.15,25.6,2014-2015
