Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season,goal_gain_lose_gap
맨시티,1,86,1,19,1,5,2013-2014,1
리버풀,2,84,2,13,10,16,2013-2014,2
첼시,3,82,3,20,3,8,2013-2014,3
아스날,4,79,4,17,5,11,2013-2014,4
에버튼,5,72,6,18,18,9,2013-2014,5
맨유,7,64,5,16,2,10,2013-2014,6
사우스햄튼,8,56,8,15,6,19,2013-2014,7
토트넘,6,69,7,11,19,18,2013-2014,8
스완지,12,42,9,8,9,12,2013-2014,9
스토크시티,9,50,10,10,16,7,2013-2014,10
웨스트햄,13,40,14,12,13,2,2013-2014,11
크리스탈 팰리스,11,45,18,14,7,3,2013-2014,12
헐시티,16,37,17,9,8,6,2013-2014,13
웨스트 브로미치,17,36,11,7,17,4,2013-2014,14
뉴캐슬,10,49,12,6,20,13,2013-2014,15
선더랜드,14,38,13,5,15,14,2013-2014,16
아스톤 빌라,15,38,16,4,14,20,2013-2014,17
노리치,18,33,20,3,11,15,2013-2014,18
카디프,20,30,19,2,4,17,2013-2014,19
풀럼,19,32,15,1,12,1,2013-2014,20
맨시티,2,79,1,16,3,1,2014-2015,1
첼시,1,87,2,20,18,12,2014-2015,2
아스날,3,75,3,18,2,15,2014-2015,3
맨유,4,70,4,17,1,16,2014-2015,4
사우스햄튼,7,60,6,19,20,18,2014-2015,5
토트넘,5,64,5,7,16,20,2014-2015,6
리버풀,6,62,7,13,4,19,2014-2015,7
스토크시티,9,54,9,15,17,8,2014-2015,8
에버튼,11,47,8,11,5,4,2014-2015,9
웨스트햄,12,47,13,14,6,9,2014-2015,10
스완지,8,56,12,12,19,13,2014-2015,11
크리스탈 팰리스,10,48,10,8,8,6,2014-2015,12
레스터시티,14,41,11,4,9,7,2014-2015,13
웨스트 브로미치,13,44,16,9,10,3,2014-2015,14
헐시티,18,35,17,10,7,11,2014-2015,15
선더랜드,16,38,18,5,13,5,2014-2015,16
뉴캐슬,15,39,15,2,11,17,2014-2015,17
번리,19,33,20,6,14,10,2014-2015,18
아스톤 빌라,17,38,19,3,15,14,2014-2015,19
QPR,20,30,14,1,12,2,2014-2015,20
토트넘,3,70,2,20,20,20,2015-2016,1
레스터시티,1,81,3,18,7,9,2015-2016,2
맨시티,4,66,1,16,1,3,2015-2016,3
아스날,2,71,5,17,14,11,2015-2016,4
사우스햄튼,6,63,9,15,17,16,2015-2016,5
웨스트햄,7,62,4,10,10,14,2015-2016,6
맨유,5,66,10,19,4,17,2015-2016,7
리버풀,8,60,6,12,9,19,2015-2016,8
첼시,10,50,7,8,16,13,2015-2016,9
에버튼,11,47,8,6,8,12,2015-2016,10
스완지,12,47,14,9,18,7,2015-2016,11
왓포드,13,45,16,13,3,2,2015-2016,12
크리스탈 팰리스,15,42,17,11,15,5,2015-2016,13
스토크시티,9,51,15,7,11,6,2015-2016,14
선더랜드,17,39,11,5,5,10,2015-2016,15
웨스트 브로미치,14,43,19,14,12,1,2015-2016,16
뉴캐슬,18,37,13,4,2,18,2015-2016,17
본머스,16,42,12,2,6,8,2015-2016,18
노리치,19,34,18,3,13,4,2015-2016,19
아스톤 빌라,20,17,20,1,19,15,2015-2016,20
토트넘,2,86,1,20,9,20,2016-2017,1
첼시,1,93,2,18,12,12,2016-2017,2
맨시티,3,78,3,17,1,4,2016-2017,3
리버풀,4,76,4,16,19,19,2016-2017,4
아스날,5,75,5,15,3,13,2016-2017,5
맨유,6,69,8,19,2,17,2016-2017,6
에버튼,7,61,6,14,11,10,2016-2017,7
사우스햄튼,8,46,15,13,20,18,2016-2017,8
웨스트 브로미치,10,45,13,12,17,1,2016-2017,9
본머스,9,46,7,5,14,16,2016-2017,10
크리스탈 팰리스,14,41,9,7,4,5,2016-2017,11
스토크시티,13,44,14,9,7,2,2016-2017,12
레스터시티,12,44,10,8,10,8,2016-2017,13
번리,16,40,17,10,5,6,2016-2017,14
웨스트햄,11,45,11,6,6,14,2016-2017,15
스완지,15,41,12,2,18,7,2016-2017,16
미들스브러,19,28,20,11,8,11,2016-2017,17
왓포드,17,40,16,4,15,3,2016-2017,18
선더랜드,20,24,19,3,13,15,2016-2017,19
헐시티,18,34,18,1,16,9,2016-2017,20
맨시티,1,100,1,20,1,17,2017-2018,1
리버풀,4,75,2,16,17,20,2017-2018,2
맨유,2,81,5,19,2,14,2017-2018,3
토트넘,3,77,4,18,14,18,2017-2018,4
첼시,5,70,6,17,5,11,2017-2018,5
아스날,6,63,3,13,16,12,2017-2018,6
번리,7,54,15,15,19,6,2017-2018,7
레스터시티,9,47,7,5,11,9,2017-2018,8
뉴캐슬,10,44,13,14,12,19,2017-2018,9
크리스탈 팰리스,11,44,10,11,7,8,2017-2018,10
에버튼,8,49,12,6,3,13,2017-2018,11
본머스,12,44,9,4,10,10,2017-2018,12
사우스햄튼,17,36,14,9,20,16,2017-2018,13
왓포드,14,41,11,3,6,2,2017-2018,14
브라이튼,15,40,17,12,4,5,2017-2018,15
웨스트햄,13,42,8,2,18,3,2017-2018,16
웨스트 브로미치,20,31,18,8,8,1,2017-2018,17
스완지,18,33,20,10,15,7,2017-2018,18
허더스필드,16,37,19,7,9,15,2017-2018,19
스토크시티,19,33,16,1,13,4,2017-2018,20
맨시티,1,98,1,19,15,11,2018-2019,1
리버풀,2,97,2,20,1,12,2018-2019,2
토트넘,4,71,4,18,19,8,2018-2019,3
첼시,3,72,6,17,2,7,2018-2019,4
아스날,5,70,3,12,9,10,2018-2019,5
맨유,6,66,5,10,10,14,2018-2019,6
에버튼,8,54,8,16,8,18,2018-2019,7
레스터시티,9,52,11,14,16,16,2018-2019,8
울버햄튼,7,57,13,15,4,19,2018-2019,9
크리스탈 팰리스,12,49,12,11,17,5,2018-2019,10
웨스트햄,10,52,10,9,5,3,2018-2019,11
뉴캐슬,13,45,16,13,18,9,2018-2019,12
왓포드,11,50,9,8,20,2,2018-2019,13
본머스,14,45,7,3,7,13,2018-2019,14
사우스햄튼,16,39,14,6,13,20,2018-2019,15
번리,15,40,15,5,14,1,2018-2019,16
브라이튼,17,36,17,7,6,6,2018-2019,17
카디프,18,34,19,4,11,4,2018-2019,18
풀럼,19,26,18,1,3,17,2018-2019,19
허더스필드,20,16,20,2,12,15,2018-2019,20
맨시티,2,81,1,19,4,6,2019-2020,1
리버풀,1,99,2,20,18,7,2019-2020,2
맨유,3,66,5,18,2,20,2019-2020,3
레스터시티,5,62,4,15,15,11,2019-2020,4
첼시,4,66,3,10,20,17,2019-2020,5
토트넘,6,59,6,14,6,10,2019-2020,6
울버햄튼,7,59,9,16,5,12,2019-2020,7
아스날,8,56,7,13,3,18,2019-2020,8
셰필드,9,54,16,17,7,5,2019-2020,9
번리,10,54,12,11,16,3,2019-2020,10
사우스햄튼,11,52,8,6,11,14,2019-2020,11
에버튼,12,49,11,8,12,16,2019-2020,12
웨스트햄,16,39,10,5,8,4,2019-2020,13
브라이튼,15,41,15,9,9,9,2019-2020,14
크리스탈 팰리스,14,43,19,12,19,1,2019-2020,15
뉴캐슬,13,44,17,7,10,8,2019-2020,16
본머스,18,34,14,3,14,19,2019-2020,17
아스톤 빌라,17,35,13,2,1,15,2019-2020,18
왓포드,19,34,18,4,13,2,2019-2020,19
노리치,20,21,20,1,17,13,2019-2020,20
맨시티,1,86,1,20,3,13,2020-2021,1
맨유,2,74,2,16,9,18,2020-2021,2
리버풀,3,69,4,17,8,6,2020-2021,3
토트넘,7,62,3,15,5,5,2020-2021,4
첼시,4,67,8,19,1,15,2020-2021,5
레스터시티,5,66,5,10,18,9,2020-2021,6
아스날,8,61,10,18,7,16,2020-2021,7
웨스트햄,6,65,7,12,16,3,2020-2021,8
아스톤 빌라,11,55,9,13,4,20,2020-2021,9
리즈,9,59,6,7,2,12,2020-2021,10
에버튼,10,59,12,11,6,10,2020-2021,11
브라이튼,16,41,15,14,14,14,2020-2021,12
뉴캐슬,12,45,13,5,11,4,2020-2021,13
울버햄튼,13,45,16,9,17,17,2020-2021,14
사우스햄튼,15,43,11,2,15,11,2020-2021,15
번리,17,39,18,6,20,2,2020-2021,16
크리스탈 팰리스,14,44,14,3,19,1,2020-2021,17
풀럼,18,28,19,8,12,19,2020-2021,18
웨스트 브로미치,19,26,17,1,13,7,2020-2021,19
셰필드,20,23,20,4,10,8,2020-2021,20
맨시티,1,93,1,20,10,8,2021-2022,1
리버풀,2,92,2,19,9,4,2021-2022,2
첼시,3,74,3,18,20,6,2021-2022,3
