Team,Rank,Point,Score,Lose_score,Balance,AverageAge
Arsenal FC,4,79,68,41,-37.10m,26.5
Aston Villa,15,38,39,61,-11.74m,24.4
Cardiff City,20,30,32,74,-42.08m,25.2
Chelsea FC,3,82,71,27,-52.42m,27.3
Crystal Palace,11,45,33,48,-33.00m,27.7
Everton FC,5,72,61,39,14.30m,27.2
Fulham FC,19,32,40,85,-25.15m,28.6
Hull City,16,37,38,53,-30.22m,27.4
Liverpool FC,2,84,101,50,-25.60m,25.3
Manchester City,1,86,102,37,-104.20m,27.5
Manchester United,7,64,64,43,-75.33m,26.5
Newcastle United,10,49,43,59,22.07m,26.2
Norwich City,18,33,28,62,-25.22m,26.2
Southampton FC,8,56,54,46,-35.40m,24.6
Stoke City,9,50,45,52,-7.00m,27.3
Sunderland AFC,14,38,41,60,-11.53m,26.2
Swansea City,12,42,54,54,-26.61m,26.2
Tottenham Hotspur,6,69,55,51,15.85m,25.0
West Bromwich Albion,17,36,43,59,-4.30m,27.7
West Ham United,13,40,40,51,-23.47m,28.4
