,Unnamed: 0,Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season
0,0,AFC Bournemouth,18,34,40,65,-20.29,25.1,2019-2020
1,1,Arsenal FC,8,56,56,48,-107.15,25.1,2019-2020
2,2,Aston Villa,17,35,41,67,-156.5,25.6,2019-2020
3,3,Brighton & Hove Albion,15,41,39,54,-53.24,26.4,2019-2020
4,4,Burnley FC,10,54,43,50,-10.3,28.1,2019-2020
5,5,Chelsea FC,4,66,69,54,112.27,25.3,2019-2020
6,6,Crystal Palace,14,43,31,50,47.78,29.0,2019-2020
7,7,Everton FC,12,49,44,56,-33.2,25.5,2019-2020
8,8,Leicester City,5,62,67,41,-15.8,25.9,2019-2020
9,9,Liverpool FC,1,99,85,33,37.6,26.6,2019-2020
10,10,Manchester City,2,81,102,35,-98.82,26.7,2019-2020
11,11,Manchester United,3,66,66,36,-155.62,24.7,2019-2020
12,12,Newcastle United,13,44,38,58,-37.26,26.5,2019-2020
13,13,Norwich City,20,21,26,75,-6.62,25.9,2019-2020
14,14,Sheffield United,9,54,39,39,-72.15,26.9,2019-2020
15,15,Southampton FC,11,52,51,60,-34.2,25.7,2019-2020
16,16,Tottenham Hotspur,6,59,61,47,-86.0,26.2,2019-2020
17,17,Watford FC,19,34,36,64,-30.6,28.4,2019-2020
18,18,West Ham United,16,39,49,62,-64.32,27.4,2019-2020
19,19,Wolverhampton Wanderers,7,59,51,40,-92.6,25.9,2019-2020
