Team,Rank,Point,Score,Lose_score
Manchester City,1  ,86,102,37
Liverpool FC,2  ,84,101,50
Chelsea FC,3  ,82,71,27
Arsenal FC,4  ,79,68,41
Everton FC,5  ,72,61,39
Tottenham Hotspur,6  ,69,55,51
Manchester United,7  ,64,64,43
Southampton FC,8  ,56,54,46
Stoke City,9  ,50,45,52
Newcastle United,10  ,49,43,59
Crystal Palace,11  ,45,33,48
Swansea City,12  ,42,54,54
West Ham United,13  ,40,40,51
Sunderland AFC,14  ,38,41,60
Aston Villa,15  ,38,39,61
Hull City,16  ,37,38,53
West Bromwich Albion,17  ,36,43,59
Norwich City,18  ,33,28,62
Fulham FC,19  ,32,40,85
Cardiff City,20  ,30,32,74
